사용년월,노선ID,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자,교통수단타입코드,교통수단타입명,"?""사용년월"""
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900131,21844,낙성대현대아파트,1,17,0,0,0,0,0,0,0,0,0,0,13,29,29,64,165,177,147,121,89,106,75,63,71,76,51,71,48,95,22,68,43,82,17,105,25,127,20,158,14,55,5,81,5,62,12,54,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.영어마을,1,2,0,0,0,0,0,0,0,0,0,0,11,40,10,117,136,175,99,55,81,91,52,78,62,49,38,66,36,81,38,77,29,99,68,58,16,96,16,57,27,39,33,18,1,15,2,10,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900140,21864,서울과학전시관,0,7,0,0,0,0,0,0,0,0,0,0,0,65,4,132,6,208,11,126,9,108,4,87,8,80,2,110,1,141,4,81,4,146,0,97,2,97,0,81,1,67,0,57,0,55,0,51,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900153,21882,호암교수회관,1,17,0,0,0,0,0,0,0,0,0,0,35,0,0,0,9,3,0,0,1,0,61,104,67,177,44,125,41,132,36,123,37,157,22,153,16,88,24,137,19,102,7,103,5,114,3,70,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동,0,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,25,1,10,2,2,111,238,95,375,100,283,88,265,75,264,60,298,45,295,71,275,29,345,25,339,19,254,11,281,8,195,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원,0,32,0,0,0,0,0,0,0,0,0,0,0,34,0,39,8,76,9,42,12,58,85,220,84,441,94,304,90,322,101,251,61,294,43,279,87,310,26,349,25,409,9,328,12,362,7,311,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,기숙사신관,0,284,0,0,0,0,0,0,0,0,0,0,2,225,6,169,55,331,75,294,63,319,49,317,53,447,46,488,34,519,33,486,18,548,20,573,20,697,23,768,4,770,7,889,1,1144,3,1056,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,기숙사구관,0,266,0,0,0,0,0,0,0,0,0,0,2,191,9,151,57,433,88,600,94,427,56,401,74,521,75,620,43,610,54,564,32,556,19,629,39,703,25,818,16,808,9,1011,10,1340,4,1384,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리,0,1,0,0,0,0,0,0,0,0,0,0,5,135,36,282,167,1088,409,1664,379,1221,116,820,76,878,47,901,58,753,21,584,32,433,37,290,27,359,18,197,8,143,2,99,2,65,2,39,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,22,0,54,1,72,1,126,3,58,0,33,0,34,0,12,1,4,1,2,2,1,7,0,0,1,0,0,0,0,0,0,0,0,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,34,2,39,3,168,4,615,0,293,7,107,5,47,0,37,3,15,2,12,1,4,1,7,0,6,0,4,0,1,0,4,0,2,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,1,143,15,598,7,2522,32,3219,28,2202,106,1298,28,1260,28,1252,49,1119,37,795,25,531,15,393,88,332,10,233,6,114,2,83,9,48,37,9,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,17,40,92,35,42,35,28,113,28,79,19,52,30,114,40,93,42,102,36,81,79,50,94,56,60,77,55,49,64,10,69,6,62,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교,0,2,0,0,0,0,0,0,0,0,0,0,4,12,29,31,103,97,79,119,25,94,19,239,24,348,22,216,22,223,41,226,26,288,15,671,21,1615,18,774,16,457,16,335,13,304,13,271,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구,66,2,0,0,0,0,0,0,0,0,0,0,342,56,554,74,1706,632,1364,330,660,50,365,50,460,65,492,77,378,91,254,67,274,52,221,110,330,215,373,236,341,123,335,96,348,70,323,59,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교,11,13,0,0,0,0,0,0,0,0,0,0,12,39,109,32,456,141,551,128,398,67,208,75,259,53,288,85,231,84,156,71,123,83,88,116,111,144,163,173,154,102,112,95,166,100,92,79,20180303,,,
201802.0,11110537.0,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,64,0,0,0,0,0,0,0,0,0,0,65,932,163,1000,950,2828,990,2099,589,1372,9,325,7,485,12,299,17,435,6,369,1,511,3,347,11,424,7,497,6,463,5,458,1,494,0,368,20180303,,,
