사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자
202302,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관(00030),0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,5,39,3,45,5,21,2,26,3,20,7,46,9,27,15,41,5,49,2,60,4,118,4,41,3,28,0,42,0,46,1,25,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관(00007),0,7,0,0,0,0,0,0,0,0,0,0,32,563,162,1082,1077,3439,1444,2155,708,1340,17,285,0,401,6,222,13,216,9,239,3,422,4,442,12,428,5,495,2,323,2,334,0,311,0,182,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관(00029),0,0,0,0,0,0,0,0,0,0,0,0,15,0,63,2,143,28,151,14,158,5,257,6,338,12,236,8,199,20,188,12,289,29,323,23,313,32,168,11,91,9,73,7,78,13,29,3,30,서울마을버스,20230303
202302,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관(00027),0,0,0,0,0,0,0,0,0,0,0,0,117,2,361,6,526,83,495,49,471,9,603,20,776,28,601,22,507,21,496,30,592,52,724,30,634,63,381,37,210,30,176,30,181,39,80,12,30,서울마을버스,20230303
202312,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소(00019),0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,109,2,280,18,281,12,190,9,136,3,168,14,115,7,57,11,86,8,37,6,54,21,34,12,21,3,18,7,13,5,10,0,8,30,서울마을버스,20240103
202312,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관(00022),0,0,0,0,0,0,0,0,0,0,0,0,53,133,33,357,70,769,146,1664,273,1732,393,1345,650,1341,685,1700,1024,1001,1621,918,2174,492,3055,389,2719,296,1503,158,1177,119,1164,96,1045,89,434,44,30,서울마을버스,20240103
202312,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,유회진학술정보관.제1공학관(00023),0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,2,19,3,15,2,53,5,74,4,102,0,126,2,121,1,224,2,396,4,662,5,478,2,246,2,164,0,171,0,162,0,110,0,30,서울마을버스,20240103
202312,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소(00024),0,0,0,0,0,0,0,0,0,0,0,0,9,1,15,0,18,3,31,5,56,5,142,5,151,7,115,6,171,13,297,8,447,13,1109,7,1211,8,421,7,288,2,296,3,208,1,156,0,30,서울마을버스,20240103
202312,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구(00025),0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,2,5,0,13,3,38,3,77,11,100,3,135,13,131,1,282,6,368,6,521,11,343,6,122,0,70,1,83,0,46,1,42,0,30,서울마을버스,20240103
202312,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리(00027),0,0,0,0,0,0,0,0,0,0,0,0,60,8,83,4,380,5,283,3,265,8,413,9,574,22,572,9,565,22,765,28,978,21,1245,50,1219,102,519,126,537,86,495,94,439,86,221,44,30,서울마을버스,20240103
