사용년월,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,교통수단타입코드,교통수단타입명,등록일자,"?""사용년월"""
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교(00035),0,0,0,0,0,0,0,0,0,0,0,0,2,31,41,49,121,541,39,105,14,87,18,283,24,389,14,268,4,239,7,348,21,342,25,843,18,1387,5,600,9,368,11,328,7,238,1,157,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교(00037),0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,10,32,121,10,58,9,33,8,62,5,107,1,79,4,68,5,63,6,126,8,239,6,394,2,186,0,89,1,93,1,77,2,40,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구(00002),0,0,0,0,0,0,0,0,0,0,0,0,424,72,436,145,1057,201,543,39,378,37,457,39,738,44,850,29,507,56,423,43,421,55,384,80,458,117,679,87,653,59,765,67,736,63,823,27,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교(00003),0,0,0,0,0,0,0,0,0,0,0,0,66,27,73,78,200,58,190,65,150,54,211,66,372,34,366,73,269,87,271,84,198,64,204,111,218,128,200,136,214,66,241,46,179,81,134,37,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관(00030),0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,74,41,21,27,12,33,10,27,18,38,12,39,8,38,2,38,5,46,3,85,8,105,5,61,4,41,2,68,0,44,1,37,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관(00032),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,17,0,17,0,8,0,10,2,12,0,17,6,22,0,11,2,19,2,19,0,15,0,9,0,15,1,19,0,21,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관(00007),0,6,0,0,0,0,0,0,0,0,0,0,109,620,300,954,1554,3058,2363,2031,1277,1671,43,362,51,575,54,349,44,565,13,323,5,493,4,510,5,525,2,519,1,362,0,339,0,322,1,245,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관(00027),0,0,0,0,0,0,0,0,0,0,0,0,80,14,280,16,537,55,568,64,488,35,667,37,767,54,736,37,740,56,833,76,1067,81,1557,88,1476,96,752,87,495,74,409,70,274,55,185,37,30.0,서울마을버스,20221203,
202211.0,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관(00029),0,0,0,0,0,0,0,0,0,0,0,0,28,0,71,3,166,14,195,15,162,6,208,11,247,17,246,10,196,13,259,18,312,22,474,22,446,31,207,28,136,15,121,17,104,21,44,12,30.0,서울마을버스,20221203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,46,3,364,10,386,9,340,13,134,10,117,17,120,16,63,36,62,19,68,57,33,69,31,23,14,11,9,3,13,7,7,3,1,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,0,0,22,62,48,253,100,1163,203,2399,191,2596,315,1283,515,913,770,1053,1037,656,1463,516,1559,388,2417,242,2598,175,1373,146,984,83,899,103,902,43,405,13,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,3,18,0,27,7,25,0,26,7,47,1,76,0,77,3,117,4,391,1,612,0,415,7,267,0,164,0,137,0,98,0,88,0,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,1,18,0,31,8,50,1,74,6,91,13,101,12,145,4,246,12,364,14,1339,9,1297,12,465,7,323,1,279,8,225,2,116,1,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,5,0,10,2,17,1,51,1,94,3,113,4,172,7,213,4,219,2,282,1,321,11,127,2,76,2,55,1,57,0,23,0,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,30,3,106,6,290,2,213,5,113,6,197,11,260,13,230,14,245,16,373,26,447,28,794,43,810,149,307,155,270,97,255,104,301,122,152,75,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,1,154,2,175,18,964,26,1331,22,935,12,513,13,354,11,407,12,205,8,113,14,97,11,51,13,45,1,31,3,34,1,40,1,22,0,7,,,20220203,
202201.0,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,285,5,444,14,634,14,341,7,150,9,138,6,146,7,102,4,65,7,34,2,29,52,31,1,22,0,24,1,15,4,8,9,8,,,20220203,
